YEAR,MO,DY,HR,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2MDEW,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2021,9,30,21,17.72,0.0,0.0,0.0,0.0,14.52,11.11,81.44,0.01,92.87,6.14,109.54
2021,9,30,22,17.54,0.0,0.0,0.0,0.0,14.7,11.29,83.31,0.0,92.82,5.2,104.35
2021,9,30,23,17.37,0.0,0.0,0.0,0.0,14.86,11.41,85.0,0.0,92.77,4.49,104.11
2021,10,1,0,17.19,0.0,0.0,0.0,0.0,14.93,11.47,86.44,0.0,92.71,4.12,105.27
2021,10,1,1,17.03,0.0,0.0,0.0,0.0,14.93,11.47,87.31,0.01,92.67,3.91,106.84
2021,10,1,2,16.98,0.0,0.0,0.0,0.0,14.91,11.47,87.44,0.0,92.62,3.79,96.99
2021,10,1,3,17.13,0.0,0.0,0.0,0.0,14.84,11.41,86.25,0.0,92.55,3.36,72.96
2021,10,1,4,17.32,0.0,0.0,0.0,0.0,14.84,11.41,85.19,0.0,92.52,3.16,46.5
2021,10,1,5,17.54,0.0,0.0,0.0,0.0,14.9,11.47,84.44,0.0,92.55,3.32,33.09
2021,10,1,6,18.61,77.38,61.12,3.35,0.01,15.1,11.6,80.0,0.0,92.63,4.15,32.22
2021,10,1,7,21.7,288.73,239.16,12.62,0.14,15.23,11.72,66.62,0.0,92.69,5.32,29.69
2021,10,1,8,26.18,508.75,428.26,23.72,0.46,14.93,11.47,49.88,0.01,92.71,5.82,15.73
2021,10,1,9,30.73,687.05,592.87,32.92,0.84,13.51,10.44,34.94,0.0,92.73,6.57,347.15
2021,10,1,10,33.43,825.7,724.19,41.51,1.22,12.63,9.89,28.31,0.0,92.71,7.08,327.57
2021,10,1,11,35.16,892.08,702.12,41.29,1.3,12.18,9.58,24.94,0.01,92.66,7.03,309.72
2021,10,1,12,36.24,956.08,609.07,40.04,1.3,11.9,9.4,23.12,0.02,92.58,7.16,295.45
2021,10,1,13,35.95,877.77,531.09,35.06,1.08,12.07,9.52,23.75,0.07,92.48,7.24,289.33
2021,10,1,14,35.53,724.5,377.34,25.03,0.66,12.24,9.64,24.56,0.05,92.4,6.98,291.28
2021,10,1,15,34.72,521.65,228.17,15.05,0.3,12.13,9.58,25.5,0.01,92.36,6.02,294.7
2021,10,1,16,33.71,293.48,109.18,7.02,0.09,12.05,9.52,26.81,0.0,92.35,4.75,298.46
2021,10,1,17,31.6,76.75,34.96,2.22,0.01,12.95,10.13,32.25,0.0,92.37,2.67,304.25
2021,10,1,18,28.48,0.0,0.0,0.0,0.0,13.77,10.68,40.5,0.0,92.41,1.83,307.02
2021,10,1,19,27.51,0.0,0.0,0.0,0.0,13.9,10.74,43.19,0.0,92.48,1.72,294.12
2021,10,1,20,26.73,0.0,0.0,0.0,0.0,14.3,11.05,46.5,0.0,92.56,1.76,241.61
2021,10,1,21,26.0,0.0,0.0,0.0,0.0,14.24,10.99,48.25,0.0,92.67,3.08,205.53
2021,10,1,22,24.56,0.0,0.0,0.0,0.0,14.96,11.47,55.0,0.0,92.75,3.08,186.55
2021,10,1,23,22.98,0.0,0.0,0.0,0.0,15.76,12.08,63.69,0.01,92.79,2.56,170.88
2021,10,2,0,22.05,0.0,0.0,0.0,0.0,16.22,12.45,69.38,0.19,92.72,2.04,125.64
2021,10,2,1,21.81,0.0,0.0,0.0,0.0,16.4,12.63,71.25,1.31,92.59,2.06,84.77
2021,10,2,2,21.63,0.0,0.0,0.0,0.0,17.05,13.18,75.06,1.07,92.53,0.86,50.93
2021,10,2,3,21.64,0.0,0.0,0.0,0.0,17.45,13.49,77.0,0.14,92.56,0.78,295.54
2021,10,2,4,21.12,0.0,0.0,0.0,0.0,17.55,13.55,80.0,0.06,92.63,1.35,267.02
2021,10,2,5,20.44,0.0,0.0,0.0,0.0,17.65,13.67,83.94,0.03,92.7,2.05,265.85
2021,10,2,6,20.02,66.02,22.39,1.27,0.01,17.89,13.85,87.38,0.0,92.73,2.55,281.86
2021,10,2,7,20.29,257.77,140.8,7.95,0.09,18.08,14.04,87.0,0.0,92.78,3.33,298.31
2021,10,2,8,22.01,479.1,252.76,14.91,0.3,18.21,14.1,78.94,0.01,92.81,4.66,311.12
2021,10,2,9,26.06,682.45,250.8,16.55,0.43,16.9,13.0,57.0,0.0,92.74,5.46,312.68
2021,10,2,10,30.09,825.77,242.78,16.86,0.49,14.88,11.41,39.62,0.0,92.72,6.99,299.37
2021,10,2,11,31.18,900.4,209.04,14.97,0.47,14.19,10.93,35.56,0.01,92.7,8.62,295.33
2021,10,2,12,30.51,959.65,327.85,24.33,0.78,14.47,11.11,37.62,0.02,92.66,8.38,293.86
2021,10,2,13,29.55,870.05,333.35,23.59,0.72,14.52,11.17,39.94,0.02,92.61,7.23,295.46
2021,10,2,14,29.55,709.17,286.21,19.41,0.53,14.62,11.23,40.19,0.02,92.57,6.24,299.81
2021,10,2,15,29.08,504.48,190.59,12.7,0.26,14.93,11.47,42.06,0.02,92.56,5.47,300.08
2021,10,2,16,28.12,269.95,132.09,7.62,0.09,15.28,11.72,45.5,0.03,92.58,4.29,303.26
2021,10,2,17,26.54,66.3,33.19,2.01,0.01,16.0,12.27,52.31,0.05,92.61,2.73,319.06
2021,10,2,18,24.47,0.0,0.0,0.0,0.0,18.03,13.98,67.25,0.07,92.64,1.48,340.61
2021,10,2,19,23.88,0.0,0.0,0.0,0.0,18.45,14.34,71.5,0.06,92.67,1.25,8.99
2021,10,2,20,23.26,0.0,0.0,0.0,0.0,18.33,14.28,73.88,0.04,92.71,1.32,50.28
2021,10,2,21,22.51,0.0,0.0,0.0,0.0,18.23,14.16,76.56,0.02,92.72,1.67,68.35
2021,10,2,22,21.96,0.0,0.0,0.0,0.0,17.94,13.92,77.81,0.01,92.71,2.03,70.94
2021,10,2,23,21.47,0.0,0.0,0.0,0.0,17.8,13.79,79.56,0.0,92.7,1.96,71.13
2021,10,3,0,20.83,0.0,0.0,0.0,0.0,17.69,13.67,82.12,0.0,92.69,1.73,70.75
2021,10,3,1,20.43,0.0,0.0,0.0,0.0,17.58,13.55,83.5,0.0,92.68,1.64,60.87
2021,10,3,2,20.06,0.0,0.0,0.0,0.0,17.44,13.49,84.75,0.0,92.65,1.71,46.11
2021,10,3,3,19.66,0.0,0.0,0.0,0.0,17.27,13.37,86.0,0.0,92.61,1.99,36.69
2021,10,3,4,19.48,0.0,0.0,0.0,0.0,17.05,13.12,85.69,0.0,92.59,2.44,30.02
2021,10,3,5,19.62,0.0,0.0,0.0,0.0,16.64,12.82,82.88,0.0,92.59,2.97,24.21
2021,10,3,6,20.25,73.38,64.89,3.57,0.02,16.15,12.39,77.25,0.0,92.63,3.58,22.43
2021,10,3,7,22.94,275.2,239.23,12.53,0.15,15.8,12.15,64.06,0.0,92.69,3.78,19.07
2021,10,3,8,27.49,508.65,439.52,24.27,0.48,14.58,11.17,45.12,0.0,92.71,4.75,348.34
2021,10,3,9,29.55,711.85,696.28,39.7,1.02,14.03,10.8,38.62,1.7,92.67,5.44,334.65
2021,10,3,10,30.31,859.52,847.9,50.01,1.49,13.83,10.68,36.5,1.1,92.63,5.8,326.93
2021,10,3,11,31.71,941.92,855.99,52.7,1.72,13.84,10.68,33.75,2.4,92.59,5.88,321.15
2021,10,3,12,32.82,974.23,621.93,42.52,1.44,14.33,11.05,32.75,2.52,92.53,6.13,316.39
2021,10,3,13,32.99,900.33,481.45,33.29,1.06,15.05,11.6,34.0,2.53,92.44,6.38,309.44
2021,10,3,14,32.51,756.8,331.7,23.44,0.65,15.44,11.9,35.81,1.05,92.35,6.2,303.59
2021,10,3,15,31.33,557.92,116.85,8.5,0.18,15.73,12.08,38.94,1.24,92.31,5.43,297.34
2021,10,3,16,29.86,324.15,47.16,3.12,0.04,17.41,13.55,47.25,0.83,92.33,3.83,290.06
2021,10,3,17,27.52,92.15,32.27,2.19,0.01,20.6,16.54,66.06,0.62,92.38,2.44,278.47
2021,10,3,18,25.44,0.0,0.0,0.0,0.0,21.21,17.09,77.44,0.44,92.46,2.22,262.72
2021,10,3,19,24.94,0.0,0.0,0.0,0.0,21.25,17.15,79.81,0.04,92.55,1.79,246.11
2021,10,3,20,25.33,0.0,0.0,0.0,0.0,19.98,15.81,72.19,0.02,92.63,0.86,219.07
2021,10,3,21,24.64,0.0,0.0,0.0,0.0,19.76,15.56,74.19,0.02,92.68,0.85,97.39
2021,10,3,22,22.94,0.0,0.0,0.0,0.0,19.91,15.75,82.88,0.0,92.69,1.67,66.91
2021,10,3,23,21.48,0.0,0.0,0.0,0.0,18.74,14.65,84.25,0.0,92.63,2.29,53.05
2021,10,4,0,20.76,0.0,0.0,0.0,0.0,18.11,14.1,84.69,0.0,92.57,2.59,42.92
2021,10,4,1,20.43,0.0,0.0,0.0,0.0,17.62,13.61,83.75,0.0,92.48,3.01,33.77
2021,10,4,2,20.17,0.0,0.0,0.0,0.0,17.07,13.18,82.25,0.0,92.41,3.35,24.41
2021,10,4,3,19.65,0.0,0.0,0.0,0.0,16.81,12.94,83.56,0.04,92.45,2.98,12.25
2021,10,4,4,19.76,0.0,0.0,0.0,0.0,16.61,12.82,81.94,0.01,92.46,3.38,9.72
2021,10,4,5,19.37,0.0,0.0,0.0,0.0,16.28,12.51,82.12,0.01,92.48,3.49,9.53
2021,10,4,6,20.05,83.12,55.75,2.97,0.01,16.53,12.7,80.06,0.02,92.59,3.14,9.44
2021,10,4,7,22.09,290.8,194.16,11.09,0.14,16.8,12.94,71.88,0.09,92.71,3.25,13.9
2021,10,4,8,25.83,516.77,350.77,20.58,0.44,16.27,12.51,55.56,1.71,92.77,4.57,357.55
2021,10,4,9,28.3,715.62,456.34,28.45,0.79,15.76,12.08,46.44,0.0,92.78,5.94,346.31
2021,10,4,10,30.08,855.77,552.63,34.86,1.11,16.0,12.27,42.56,0.03,92.74,6.79,336.09
2021,10,4,11,31.36,925.55,575.53,36.52,1.23,16.2,12.45,40.06,0.05,92.68,7.78,327.46
2021,10,4,12,31.83,939.8,604.4,39.22,1.33,16.18,12.45,38.94,0.06,92.6,8.67,320.04
2021,10,4,13,31.42,851.52,545.9,34.72,1.09,16.14,12.39,39.81,0.05,92.55,8.89,310.3
2021,10,4,14,30.73,688.38,448.68,27.09,0.73,16.22,12.45,41.56,0.04,92.53,8.35,299.66
2021,10,4,15,29.57,477.35,323.52,18.62,0.38,16.64,12.82,45.69,0.07,92.54,7.11,285.88
2021,10,4,16,28.55,253.6,185.88,9.79,0.12,17.46,13.49,51.06,0.16,92.59,5.56,264.59
2021,10,4,17,26.4,63.62,51.66,2.69,0.01,18.93,14.77,63.44,0.21,92.66,3.67,228.02
2021,10,4,18,23.84,0.0,0.0,0.0,0.0,19.64,15.44,77.19,0.19,92.73,3.26,185.49
2021,10,4,19,21.97,0.0,0.0,0.0,0.0,19.31,15.14,84.81,0.09,92.8,4.07,154.27
2021,10,4,20,20.33,0.0,0.0,0.0,0.0,18.75,14.59,90.5,0.04,92.88,4.84,135.46
2021,10,4,21,19.3,0.0,0.0,0.0,0.0,17.83,13.73,91.06,0.03,92.94,5.25,124.94
2021,10,4,22,18.69,0.0,0.0,0.0,0.0,16.91,13.0,89.25,0.03,92.96,5.26,123.74
2021,10,4,23,18.24,0.0,0.0,0.0,0.0,16.41,12.57,88.94,0.1,92.93,5.11,128.11
2021,10,5,0,17.83,0.0,0.0,0.0,0.0,16.22,12.39,90.12,0.09,92.9,5.07,134.56
2021,10,5,1,17.45,0.0,0.0,0.0,0.0,16.07,12.33,91.44,0.03,92.89,4.87,141.77
2021,10,5,2,17.15,0.0,0.0,0.0,0.0,15.9,12.15,92.19,0.02,92.89,4.68,150.18
2021,10,5,3,16.96,0.0,0.0,0.0,0.0,15.7,12.02,92.12,0.02,92.93,4.93,155.18
2021,10,5,4,16.78,0.0,0.0,0.0,0.0,15.58,11.9,92.44,0.02,92.95,4.79,148.67
2021,10,5,5,16.54,0.0,0.0,0.0,0.0,15.47,11.84,93.19,0.02,92.96,4.75,139.27
2021,10,5,6,16.66,71.88,60.55,3.12,0.02,15.34,11.72,91.81,0.02,92.98,5.15,130.87
2021,10,5,7,17.97,266.0,198.71,10.68,0.13,15.12,11.54,83.25,0.02,93.04,5.66,124.08
2021,10,5,8,20.13,491.35,377.73,20.97,0.44,15.06,11.47,72.44,0.01,93.11,4.77,122.49
2021,10,5,9,22.38,689.12,554.67,31.91,0.85,15.25,11.66,63.88,0.0,93.14,3.72,130.99
2021,10,5,10,24.44,839.15,749.3,43.62,1.33,15.55,11.84,57.56,0.0,93.13,3.32,147.21
2021,10,5,11,26.83,913.33,874.89,51.35,1.66,15.87,12.15,51.0,0.0,93.09,3.27,162.78
2021,10,5,12,28.55,949.73,835.8,51.74,1.72,15.89,12.15,46.19,0.0,93.01,3.3,174.71
2021,10,5,13,29.54,875.4,752.51,45.37,1.43,15.52,11.9,42.56,0.01,92.92,3.35,182.27
2021,10,5,14,29.79,726.35,560.62,33.55,0.89,15.07,11.54,40.75,0.01,92.84,3.39,183.44
2021,10,5,15,29.25,528.38,442.18,24.98,0.51,14.71,11.29,41.12,0.01,92.8,3.54,177.72
2021,10,5,16,27.96,299.88,262.44,13.98,0.16,14.55,11.17,43.81,0.0,92.81,4.03,162.97
2021,10,5,17,25.5,82.08,68.26,3.52,0.01,14.8,11.35,51.5,0.0,92.86,4.94,144.65
2021,10,5,18,21.81,0.0,0.0,0.0,0.0,15.02,11.47,65.19,0.01,92.94,6.48,132.9
2021,10,5,19,18.6,0.0,0.0,0.0,0.0,14.64,11.17,77.56,0.0,93.05,7.68,127.77
2021,10,5,20,16.96,0.0,0.0,0.0,0.0,14.19,10.86,83.56,0.01,93.13,7.55,124.33
2021,10,5,21,16.52,0.0,0.0,0.0,0.0,14.03,10.74,85.06,0.01,93.17,7.02,122.54
2021,10,5,22,16.23,0.0,0.0,0.0,0.0,14.06,10.74,86.81,0.01,93.17,6.66,121.17
2021,10,5,23,15.98,0.0,0.0,0.0,0.0,14.19,10.86,88.94,0.01,93.14,6.15,119.63
2021,10,6,0,15.83,0.0,0.0,0.0,0.0,14.3,10.93,90.5,0.01,93.07,5.76,116.57
2021,10,6,1,15.66,0.0,0.0,0.0,0.0,14.32,10.99,91.62,0.0,93.0,5.18,114.32
2021,10,6,2,15.5,0.0,0.0,0.0,0.0,14.27,10.93,92.25,0.0,92.95,4.83,112.92
2021,10,6,3,15.31,0.0,0.0,0.0,0.0,14.22,10.93,93.06,0.0,92.94,4.4,113.43
2021,10,6,4,15.16,0.0,0.0,0.0,0.0,14.19,10.86,93.75,0.0,92.99,4.12,116.95
2021,10,6,5,15.06,0.0,0.0,0.0,0.0,14.15,10.86,94.12,0.0,93.07,4.07,114.5
2021,10,6,6,15.65,103.2,103.39,4.77,0.02,14.15,10.86,90.62,0.0,93.15,4.35,108.99
2021,10,6,7,18.37,328.75,334.87,16.55,0.19,14.38,10.99,77.44,0.0,93.22,4.3,95.85
2021,10,6,8,22.09,561.5,566.36,31.11,0.6,14.95,11.41,63.88,0.0,93.24,3.25,79.07
2021,10,6,9,26.28,757.77,756.3,44.19,1.14,15.6,11.9,51.75,0.03,93.21,1.88,43.49
2021,10,6,10,29.83,897.73,893.77,53.76,1.62,15.48,11.84,41.81,0.14,93.12,1.68,327.12
2021,10,6,11,32.02,968.65,953.72,58.57,1.89,15.15,11.6,36.12,0.16,92.99,2.94,300.52
2021,10,6,12,33.3,966.62,938.16,57.75,1.87,14.76,11.29,32.75,0.11,92.84,3.98,301.6
2021,10,6,13,33.94,887.45,856.09,51.55,1.55,14.35,11.05,30.81,0.05,92.68,4.86,304.92
2021,10,6,14,34.02,739.45,629.23,37.59,0.99,14.01,10.8,30.0,0.01,92.6,5.11,298.88
2021,10,6,15,33.62,537.77,383.19,22.48,0.45,13.67,10.56,30.0,0.01,92.58,4.87,284.3
2021,10,6,16,32.59,303.23,212.12,11.54,0.13,13.43,10.38,31.25,0.02,92.6,4.32,267.51
2021,10,6,17,29.85,82.58,55.96,3.16,0.01,16.07,12.39,43.56,0.02,92.65,2.43,238.25
2021,10,6,18,25.5,0.0,0.0,0.0,0.0,17.58,13.55,61.44,0.02,92.69,2.68,186.69
2021,10,6,19,23.83,0.0,0.0,0.0,0.0,16.8,12.94,64.62,0.02,92.73,3.34,152.42
2021,10,6,20,22.08,0.0,0.0,0.0,0.0,16.71,12.82,71.44,0.03,92.8,4.63,127.8
2021,10,6,21,20.25,0.0,0.0,0.0,0.0,16.92,13.0,81.06,0.02,92.85,5.17,109.97
2021,10,6,22,19.47,0.0,0.0,0.0,0.0,17.01,13.06,85.56,0.03,92.85,4.81,98.79
2021,10,6,23,19.19,0.0,0.0,0.0,0.0,17.06,13.12,87.38,0.01,92.81,4.02,89.22
2021,10,7,0,19.13,0.0,0.0,0.0,0.0,17.06,13.12,87.62,0.0,92.75,2.88,76.98
2021,10,7,1,19.08,0.0,0.0,0.0,0.0,17.15,13.24,88.5,0.0,92.7,1.91,58.39
2021,10,7,2,19.16,0.0,0.0,0.0,0.0,17.26,13.31,88.56,0.0,92.65,1.8,39.01
2021,10,7,3,19.84,0.0,0.0,0.0,0.0,17.25,13.31,84.81,0.0,92.63,1.52,19.46
2021,10,7,4,20.7,0.0,0.0,0.0,0.0,17.12,13.18,79.88,0.05,92.66,0.7,5.77
2021,10,7,5,20.1,0.0,0.0,0.0,0.0,17.4,13.43,84.38,0.71,92.71,0.77,157.34
2021,10,7,6,19.85,84.25,26.37,1.56,0.01,17.89,13.85,88.31,0.36,92.77,1.82,150.9
2021,10,7,7,20.76,272.05,57.14,3.7,0.05,17.4,13.43,80.94,0.03,92.86,3.56,144.92
2021,10,7,8,21.73,483.38,201.14,12.46,0.27,16.8,12.88,73.44,0.01,92.92,4.26,146.98
2021,10,7,9,23.41,688.95,222.52,15.63,0.42,16.57,12.7,65.38,0.0,92.95,4.07,152.55
2021,10,7,10,25.3,836.1,279.77,19.66,0.61,16.59,12.7,58.44,0.01,92.95,3.51,163.34
2021,10,7,11,27.37,908.85,276.94,20.12,0.68,16.51,12.63,51.5,0.02,92.9,2.85,178.27
2021,10,7,12,29.32,915.75,232.73,17.77,0.58,16.35,12.51,45.44,0.02,92.82,2.59,192.9
2021,10,7,13,30.15,837.6,376.97,25.3,0.79,15.98,12.27,42.31,0.03,92.74,2.55,199.16
2021,10,7,14,29.79,694.42,353.15,22.84,0.62,15.63,11.96,42.25,0.04,92.71,3.35,195.3
2021,10,7,15,28.09,497.77,215.52,13.71,0.28,15.49,11.9,46.19,0.03,92.72,4.91,179.73
2021,10,7,16,25.85,272.08,120.62,7.28,0.09,15.4,11.78,52.44,0.01,92.78,6.32,161.86
2021,10,7,17,22.56,71.35,30.43,1.88,0.01,14.82,11.35,61.5,0.01,92.9,7.34,148.76
2021,10,7,18,18.95,0.0,0.0,0.0,0.0,13.86,10.62,72.12,0.0,93.0,7.87,138.66
2021,10,7,19,16.99,0.0,0.0,0.0,0.0,13.31,10.25,78.81,0.0,93.05,7.41,132.31
2021,10,7,20,16.47,0.0,0.0,0.0,0.0,13.3,10.25,81.44,0.0,93.1,6.85,132.27
